run_id,firm_id,rank,company,event_type,event_year,event_label,event_date_inferred,event_date_verified,event_date_final,event_date_precision,event_date_source,event_date_verification_status,source_confidence,wayback_tier,primary_domain,website,event_source_url,notes
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,11,HARTING TECHNOLOGY GROUP,family_internal_succession,2015,Philip Harting übernimmt operative Führung / Vorsitz,,,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,unverified_proxy,medium,B,harting.com,https://www.harting.com/,https://en.wikipedia.org/wiki/Harting_Group,Familienunternehmen mit starker B2B-Webpräsenz; Event noch durch Primärquelle erhärten.
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,12,DIRK ROSSMANN GMBH,family_internal_succession,2021,Dirk Rossmann zieht sich zurück; Raoul Rossmann wird Sprecher der Geschäftsführung,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,high,A,rossmann.de,https://www.rossmann.de/,https://www.welt.de/233618049,"Guter zusätzlicher Nachfolgecase, Familienholding bleibt relevant."
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,family_internal_succession,2021,Claus Hipp übergibt Geschäftsführung an Stefan und Sebastian Hipp,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,medium,B,hipp.de,https://www.hipp.de/,https://de.wikipedia.org/wiki/Hipp_Holding,Starkes Familien-/Namensbranding; eventuelle Wayback-Struktur prüfen.
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,14,CLAAS KGAA MBH,external_ceo_professionalization,2019,Thomas Böck übernimmt CEO-Rolle im Familienunternehmen,,,2019-07-01,year,unverified_proxy: event_year=2019 mid-year,unverified_proxy,medium,B,claas.com,https://www.claas.com/,https://en.wikipedia.org/wiki/Claas,Für Cluster externe Geschäftsführung; ggf. 2023 Jan-Hendrik Mohr als Alternativereignis.
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,15,FABER-CASTELL AG,external_ceo_professionalization,2017,Übergang zu familienexterner operativer Führung nach Tod Anton-Wolfgang Graf von Faber-Castell,,,2017-07-01,year,unverified_proxy: event_year=2017 mid-year,unverified_proxy,medium,B,faber-castell.com,https://www.faber-castell.com/,https://en.wikipedia.org/wiki/Faber-Castell,"Starkes Marken-/Familienerbe, aber Eventdatum noch enger validieren."
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,16,HENKEL AG & CO. KGAA,external_ceo_professionalization,2020,Carsten Knobel wird Vorstandsvorsitzender in family-controlled company,,,2020-07-01,year,unverified_proxy: event_year=2020 mid-year,unverified_proxy,medium,B,henkel.com,https://www.henkel.com/,https://en.wikipedia.org/wiki/Carsten_Knobel,Große Website und klare Nachfolge; Familienbezug eher Governance/Ownership.
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,17,MERCK KGAA,external_ceo_professionalization,2021,Belén Garijo wird CEO der familienkontrollierten Merck KGaA,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,medium,B,merckgroup.com,https://www.merckgroup.com/,https://en.wikipedia.org/wiki/Bel%C3%A9n_Garijo,Sehr gute Webpräsenz; family firm status muss theoretisch sauber begründet werden.
508f1903-71e7-4aab-aba6-000fed4d8b7d,18,18,SCHAEFFLER AG,external_ceo_professionalization,2014,Klaus Rosenfeld wird CEO der familienkontrollierten Schaeffler-Gruppe,,,2014-07-01,year,unverified_proxy: event_year=2014 mid-year,unverified_proxy,medium,B,schaeffler.com,https://www.schaeffler.com/,https://en.wikipedia.org/wiki/Schaeffler_Group,Großes family-controlled sample; mehrere Ereignisse möglich.
508f1903-71e7-4aab-aba6-000fed4d8b7d,19,19,HERAEUS GROUP,external_ceo_professionalization,2013,Jan Rinnert übernimmt Leitung; später umfassende Restrukturierung,,,2013-07-01,year,unverified_proxy: event_year=2013 mid-year,unverified_proxy,medium,B,heraeus.com,https://www.heraeus-group.com/,https://en.wikipedia.org/wiki/Heraeus,"Familienunternehmen, aber Rinnert ist familiennah; Clusterzuordnung prüfen."
508f1903-71e7-4aab-aba6-000fed4d8b7d,20,20,BAHLSEN GMBH & CO. KG,family_withdrawal_or_external_management,2022,Verena Bahlsen verlässt operative Rolle; Management stärker familienextern,,,2022-07-01,year,unverified_proxy: event_year=2022 mid-year,unverified_proxy,medium,B,bahlsen.com,https://www.bahlsen.com/,https://en.wikipedia.org/wiki/Bahlsen,Interessant für Rückzug/Professionalisierung; Eventquelle primär noch nachziehen.
508f1903-71e7-4aab-aba6-000fed4d8b7d,21,21,FREUDENBERG GROUP,external_ceo_professionalization,2012,Mohsen Sohi übernimmt den Vorsitz der Unternehmensleitung im Familienunternehmen,,,2012-07-01,year,unverified_proxy: event_year=2012 mid-year,unverified_proxy,medium,B,freudenberg.com,https://www.freudenberg.com/,https://en.wikipedia.org/wiki/Freudenberg_Group,Familienunternehmen mit externer operativer Leitung; eignet sich für Professionalisierungscluster.
508f1903-71e7-4aab-aba6-000fed4d8b7d,22,22,ANDREAS STIHL AG & CO. KG,external_ceo_professionalization,2022,Michael Traub übernimmt Vorsitz des Vorstands,,,2022-07-01,year,unverified_proxy: event_year=2022 mid-year,unverified_proxy,medium,B,stihl.com,https://www.stihl.com/,https://www.stihl.com/,Großes Familienunternehmen; konkrete Family-to-external-Logik prüfen.
508f1903-71e7-4aab-aba6-000fed4d8b7d,23,23,VAILLANT GROUP,external_ceo_professionalization,2018,Norbert Schiedeck übernimmt CEO-Rolle im Familienunternehmen,,,2018-07-01,year,unverified_proxy: event_year=2018 mid-year,unverified_proxy,low,B,vaillant-group.com,https://www.vaillant-group.com/,https://www.vaillant-group.com/,"Nur aufnehmen, wenn Primärquelle für Wechsel und Familienstatus schnell validierbar ist."
508f1903-71e7-4aab-aba6-000fed4d8b7d,24,24,VIESSMANN CLIMATE SOLUTIONS / VIESSMANN GROUP,sale_to_corporate_or_investor,2023,Carrier übernimmt Viessmann Climate Solutions,,,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,unverified_proxy,high,A,viessmann.com,https://www.viessmann.com/,https://en.wikipedia.org/wiki/Viessmann,Sehr starker Verkaufscase; zusätzlich Max Viessmann-Nachfolge als Alternativereignis.
508f1903-71e7-4aab-aba6-000fed4d8b7d,25,25,BIRKENSTOCK GROUP,sale_to_corporate_or_investor,2021,Mehrheitsverkauf an L Catterton / Financière Agache,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,high,A,birkenstock.com,https://www.birkenstock-group.com/,https://www.vogue.com/article/why-l-catterton-and-financiere-agache-snapped-up-birkenstock,Sehr starker Investorencase mit Marken-/Traditionskommunikation.
508f1903-71e7-4aab-aba6-000fed4d8b7d,26,26,RIMOWA GMBH,sale_to_corporate_or_investor,2016,LVMH übernimmt 80 Prozent an Rimowa,,,2016-07-01,year,unverified_proxy: event_year=2016 mid-year,unverified_proxy,high,A,rimowa.com,https://www.rimowa.com/,https://en.wikipedia.org/wiki/Rimowa,"Starker Verkaufscase, aber Familienfirmensignal nach Luxuskonzernintegration prüfen."
508f1903-71e7-4aab-aba6-000fed4d8b7d,27,27,DOUGLAS HOLDING / DOUGLAS GROUP,sale_to_corporate_or_investor,2012,Advent International übernimmt Douglas; Kreke-Familie bleibt mit Minderheit beteiligt,,,2012-07-01,year,unverified_proxy: event_year=2012 mid-year,unverified_proxy,high,A,douglas.de,https://www.douglas.de/,https://en.wikipedia.org/wiki/Douglas_Holding,Investorencase mit fortbestehender Familienbeteiligung; Domain-/Corporate-History prüfen.
508f1903-71e7-4aab-aba6-000fed4d8b7d,28,28,CANYON BICYCLES GMBH,sale_to_corporate_or_investor,2020,GBL übernimmt Mehrheitsbeteiligung; Gründer Roman Arnold bleibt beteiligt,,,2020-07-01,year,unverified_proxy: event_year=2020 mid-year,unverified_proxy,medium,B,canyon.com,https://www.canyon.com/,https://www.ft.com/content/5b6e419e-cfd6-4950-9a1b-6337839c0cf2,Eher founder-led als klassisches Familienunternehmen; sehr gute Webdaten.
508f1903-71e7-4aab-aba6-000fed4d8b7d,29,29,CONDITOREI COPPENRATH & WIESE KG,sale_to_corporate_or_investor,2015,Übernahme durch Dr. Oetker,,,2015-07-01,year,unverified_proxy: event_year=2015 mid-year,unverified_proxy,high,A,coppenrath-wiese.de,https://www.coppenrath-wiese.de/,https://en.wikipedia.org/wiki/Coppenrath_%26_Wiese,Klarer Verkaufscase eines stark markenorientierten Gründer-/Familienunternehmens.
508f1903-71e7-4aab-aba6-000fed4d8b7d,30,30,DR. AUGUST OETKER KG / OETKER-GRUPPE,family_governance_split,2021,Oetker-Gruppe wird nach Familienstreit geteilt,,,2021-07-01,year,unverified_proxy: event_year=2021 mid-year,unverified_proxy,high,A,oetker-gruppe.de,https://www.oetker-gruppe.de/,https://www.welt.de/232679311,"Kein Verkauf/CEO-Wechsel, aber sauberer struktureller Familien-Governance-Bruch."
