rank,company,event_type,event_year,event_label,source_confidence,wayback_tier,screening_recommendation,pre_html_pages,post_html_pages,primary_domain,website,event_source_url,notes
12,DIRK ROSSMANN GMBH,family_internal_succession,2021,Dirk Rossmann zieht sich zurück; Raoul Rossmann wird Sprecher der Geschäftsführung,high,A,prioritize,1000,1000,rossmann.de,https://www.rossmann.de/,https://www.welt.de/233618049,"Guter zusätzlicher Nachfolgecase, Familienholding bleibt relevant."
13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,family_internal_succession,2021,Claus Hipp übergibt Geschäftsführung an Stefan und Sebastian Hipp,medium,B,prioritize,1000,1000,hipp.de,https://www.hipp.de/,https://de.wikipedia.org/wiki/Hipp_Holding,Starkes Familien-/Namensbranding; eventuelle Wayback-Struktur prüfen.
14,CLAAS KGAA MBH,external_ceo_professionalization,2019,Thomas Böck übernimmt CEO-Rolle im Familienunternehmen,medium,B,prioritize,1000,1000,claas.com,https://www.claas.com/,https://en.wikipedia.org/wiki/Claas,Für Cluster externe Geschäftsführung; ggf. 2023 Jan-Hendrik Mohr als Alternativereignis.
15,FABER-CASTELL AG,external_ceo_professionalization,2017,Übergang zu familienexterner operativer Führung nach Tod Anton-Wolfgang Graf von Faber-Castell,medium,B,prioritize,1000,1000,faber-castell.com,https://www.faber-castell.com/,https://en.wikipedia.org/wiki/Faber-Castell,"Starkes Marken-/Familienerbe, aber Eventdatum noch enger validieren."
16,HENKEL AG & CO. KGAA,external_ceo_professionalization,2020,Carsten Knobel wird Vorstandsvorsitzender in family-controlled company,medium,B,prioritize,1000,1000,henkel.com,https://www.henkel.com/,https://en.wikipedia.org/wiki/Carsten_Knobel,Große Website und klare Nachfolge; Familienbezug eher Governance/Ownership.
17,MERCK KGAA,external_ceo_professionalization,2021,Belén Garijo wird CEO der familienkontrollierten Merck KGaA,medium,B,prioritize,1000,1000,merckgroup.com,https://www.merckgroup.com/,https://en.wikipedia.org/wiki/Bel%C3%A9n_Garijo,Sehr gute Webpräsenz; family firm status muss theoretisch sauber begründet werden.
18,SCHAEFFLER AG,external_ceo_professionalization,2014,Klaus Rosenfeld wird CEO der familienkontrollierten Schaeffler-Gruppe,medium,B,prioritize,1000,1000,schaeffler.com,https://www.schaeffler.com/,https://en.wikipedia.org/wiki/Schaeffler_Group,Großes family-controlled sample; mehrere Ereignisse möglich.
19,HERAEUS GROUP,external_ceo_professionalization,2013,Jan Rinnert übernimmt Leitung; später umfassende Restrukturierung,medium,B,prioritize,750,1000,heraeus.com,https://www.heraeus-group.com/,https://en.wikipedia.org/wiki/Heraeus,"Familienunternehmen, aber Rinnert ist familiennah; Clusterzuordnung prüfen."
20,BAHLSEN GMBH & CO. KG,family_withdrawal_or_external_management,2022,Verena Bahlsen verlässt operative Rolle; Management stärker familienextern,medium,B,prioritize,665,890,bahlsen.com,https://www.bahlsen.com/,https://en.wikipedia.org/wiki/Bahlsen,Interessant für Rückzug/Professionalisierung; Eventquelle primär noch nachziehen.
21,FREUDENBERG GROUP,external_ceo_professionalization,2012,Mohsen Sohi übernimmt den Vorsitz der Unternehmensleitung im Familienunternehmen,medium,B,prioritize,226,831,freudenberg.com,https://www.freudenberg.com/,https://en.wikipedia.org/wiki/Freudenberg_Group,Familienunternehmen mit externer operativer Leitung; eignet sich für Professionalisierungscluster.
22,ANDREAS STIHL AG & CO. KG,external_ceo_professionalization,2022,Michael Traub übernimmt Vorsitz des Vorstands,medium,B,prioritize,1000,1000,stihl.com,https://www.stihl.com/,https://www.stihl.com/,Großes Familienunternehmen; konkrete Family-to-external-Logik prüfen.
23,VAILLANT GROUP,external_ceo_professionalization,2018,Norbert Schiedeck übernimmt CEO-Rolle im Familienunternehmen,low,B,prioritize,308,1000,vaillant-group.com,https://www.vaillant-group.com/,https://www.vaillant-group.com/,"Nur aufnehmen, wenn Primärquelle für Wechsel und Familienstatus schnell validierbar ist."
24,VIESSMANN CLIMATE SOLUTIONS / VIESSMANN GROUP,sale_to_corporate_or_investor,2023,Carrier übernimmt Viessmann Climate Solutions,high,A,prioritize,1000,1000,viessmann.com,https://www.viessmann.com/,https://en.wikipedia.org/wiki/Viessmann,Sehr starker Verkaufscase; zusätzlich Max Viessmann-Nachfolge als Alternativereignis.
25,BIRKENSTOCK GROUP,sale_to_corporate_or_investor,2021,Mehrheitsverkauf an L Catterton / Financière Agache,high,A,prioritize,1000,1000,birkenstock.com,https://www.birkenstock-group.com/,https://www.vogue.com/article/why-l-catterton-and-financiere-agache-snapped-up-birkenstock,Sehr starker Investorencase mit Marken-/Traditionskommunikation.
26,RIMOWA GMBH,sale_to_corporate_or_investor,2016,LVMH übernimmt 80 Prozent an Rimowa,high,A,prioritize,1000,1000,rimowa.com,https://www.rimowa.com/,https://en.wikipedia.org/wiki/Rimowa,"Starker Verkaufscase, aber Familienfirmensignal nach Luxuskonzernintegration prüfen."
27,DOUGLAS HOLDING / DOUGLAS GROUP,sale_to_corporate_or_investor,2012,Advent International übernimmt Douglas; Kreke-Familie bleibt mit Minderheit beteiligt,high,A,prioritize,1000,1000,douglas.de,https://www.douglas.de/,https://en.wikipedia.org/wiki/Douglas_Holding,Investorencase mit fortbestehender Familienbeteiligung; Domain-/Corporate-History prüfen.
28,CANYON BICYCLES GMBH,sale_to_corporate_or_investor,2020,GBL übernimmt Mehrheitsbeteiligung; Gründer Roman Arnold bleibt beteiligt,medium,B,prioritize,1000,1000,canyon.com,https://www.canyon.com/,https://www.ft.com/content/5b6e419e-cfd6-4950-9a1b-6337839c0cf2,Eher founder-led als klassisches Familienunternehmen; sehr gute Webdaten.
29,CONDITOREI COPPENRATH & WIESE KG,sale_to_corporate_or_investor,2015,Übernahme durch Dr. Oetker,high,A,prioritize,412,213,coppenrath-wiese.de,https://www.coppenrath-wiese.de/,https://en.wikipedia.org/wiki/Coppenrath_%26_Wiese,Klarer Verkaufscase eines stark markenorientierten Gründer-/Familienunternehmens.
30,DR. AUGUST OETKER KG / OETKER-GRUPPE,family_governance_split,2021,Oetker-Gruppe wird nach Familienstreit geteilt,high,A,prioritize,66,100,oetker-gruppe.de,https://www.oetker-gruppe.de/,https://www.welt.de/232679311,"Kein Verkauf/CEO-Wechsel, aber sauberer struktureller Familien-Governance-Bruch."
